05-05-2024 18:00:04.023,-,SERIAL,"COM14 - 9600/8/N/1/N"
05-05-2024 18:03:45.516,10814,RECV,BC3035303534363434453030323031464432430D
05-05-2024 18:03:45.827,10815,RECV,BC303530353436393130303030464441320D
05-05-2024 18:03:46.138,10816,RECV,BC303530353436463230303030464439340D
05-05-2024 18:03:46.450,10817,RECV,BC303530353436433130303030464439380D
05-05-2024 18:03:46.762,10818,RECV,BC303530353436433230303030464439370D
05-05-2024 18:03:47.072,10819,RECV,BC3035303534363432453030323031464432450D
05-05-2024 18:03:47.381,10820,RECV,BC3035303534363434453030323031464432430D
05-05-2024 18:03:47.696,10821,RECV,BC303530353436393130303030464441320D
05-05-2024 18:03:51.063,10822,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:03:51.193,10823,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:03:51.422,10824,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:03:55.216,10825,RECV,BC303630363436463230303030464439320D
05-05-2024 18:03:55.526,10826,RECV,BC303630363436433130303030464439360D
05-05-2024 18:03:55.838,10827,RECV,BC303630363436433230303030464439350D
05-05-2024 18:03:56.151,10828,RECV,BC3036303634363432453030323031464432430D
05-05-2024 18:03:56.462,10829,RECV,BC3036303634363434453030323031464432410D
05-05-2024 18:03:56.772,10830,RECV,BC303630363436393130303030464441300D
05-05-2024 18:03:57.086,10831,RECV,BC303630363436463230303030464439320D
05-05-2024 18:03:57.399,10832,RECV,BC303630363436433130303030464439360D
05-05-2024 18:03:57.710,10833,RECV,BC303630363436433230303030464439350D
05-05-2024 18:03:58.019,10834,RECV,BC3036303634363432453030323031464432430D
05-05-2024 18:03:58.329,10835,RECV,BC3036303634363434453030323031464432410D
05-05-2024 18:03:58.638,10836,RECV,BC303630363436393130303030464441300D
05-05-2024 18:03:58.948,10837,RECV,BC303630363436463230303030464439320D
05-05-2024 18:03:59.260,10838,RECV,BC303630363436433130303030464439360D
05-05-2024 18:04:06.795,10839,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:04:06.969,10840,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:04:07.104,10841,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:04:07.322,10842,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:04:57.387,10843,RECV,BC303730373436433230303030464439330D
05-05-2024 18:04:57.697,10844,RECV,BC3037303734363432453030323031464432410D
05-05-2024 18:04:58.007,10845,RECV,BC3037303734363434453030323031464432380D
05-05-2024 18:04:58.319,10846,RECV,BC303730373436393130303030464439450D
05-05-2024 18:04:58.628,10847,RECV,BC303730373436463230303030464439300D
05-05-2024 18:04:58.939,10848,RECV,BC303730373436433130303030464439340D
05-05-2024 18:04:59.244,10849,RECV,BC303730373436433230303030464439330D
05-05-2024 18:04:59.551,10850,RECV,BC3037303734363432453030323031464432410D
05-05-2024 18:04:59.859,10851,RECV,BC3037303734363434453030323031464432380D
05-05-2024 18:05:00.172,10852,RECV,BC303730373436393130303030464439450D
05-05-2024 18:05:00.479,10853,RECV,BC303730373436463230303030464439300D
05-05-2024 18:05:00.793,10854,RECV,BC303730373436433130303030464439340D
05-05-2024 18:05:01.100,10855,RECV,BC303730373436433230303030464439330D
05-05-2024 18:05:01.408,10856,RECV,BC3037303734363432453030323031464432410D
05-05-2024 18:05:01.721,10857,RECV,BC3037303734363434453030323031464432380D
05-05-2024 18:05:02.029,10858,RECV,BC303730373436393130303030464439450D
05-05-2024 18:05:02.339,10859,RECV,BC303730373436463230303030464439300D
05-05-2024 18:05:05.629,10860,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:05:05.801,10861,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:05:06.029,10862,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:05:09.706,10863,RECV,BC303830383436433130303030464439320D
05-05-2024 18:05:10.021,10864,RECV,BC303830383436433230303030464439310D
05-05-2024 18:05:10.331,10865,RECV,BC30383038343634324530303230314644
05-05-2024 18:05:10.393,10866,RECV,32380D
05-05-2024 18:05:10.643,10867,RECV,BC3038303834363434453030323031464432360D
05-05-2024 18:05:10.952,10868,RECV,BC303830383436393130303030464439430D
05-05-2024 18:05:11.261,10869,RECV,BC3038303834364632303030304644
05-05-2024 18:05:11.324,10870,RECV,38450D
05-05-2024 18:05:11.573,10871,RECV,BC303830383436433130303030464439320D
05-05-2024 18:05:11.885,10872,RECV,BC3038303834364332303030304644
05-05-2024 18:05:11.947,10873,RECV,39310D
05-05-2024 18:05:12.196,10874,RECV,BC3038303834363432453030323031464432380D
05-05-2024 18:05:12.504,10875,RECV,BC3038303834363434453030323031464432360D
05-05-2024 18:05:12.818,10876,RECV,BC303830383436393130303030464439430D
05-05-2024 18:05:13.128,10877,RECV,BC303830383436463230303030464438450D
05-05-2024 18:05:13.442,10878,RECV,BC303830383436433130303030464439320D
05-05-2024 18:05:13.754,10879,RECV,BC303830383436433230303030464439310D
05-05-2024 18:05:14.062,10880,RECV,BC30383038343634324530303230314644
05-05-2024 18:05:14.124,10881,RECV,32380D
05-05-2024 18:05:14.376,10882,RECV,BC3038303834363434453030323031464432360D
05-05-2024 18:05:17.345,10883,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:05:17.559,10884,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:05:17.775,10885,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:05:21.778,10886,RECV,BC303930393436393130303030464439410D
05-05-2024 18:05:22.091,10887,RECV,BC30393039343646323030303046
05-05-2024 18:05:22.092,10888,RECV,4438430D
05-05-2024 18:05:22.406,10889,RECV,BC303930393436433130303030464439300D
05-05-2024 18:05:22.720,10890,RECV,BC303930393436433230303030464438460D
05-05-2024 18:05:23.034,10891,RECV,BC3039303934363432453030323031
05-05-2024 18:05:23.096,10892,RECV,464432360D
05-05-2024 18:05:23.348,10893,RECV,BC3039303934363434453030323031464432340D
05-05-2024 18:05:23.664,10894,RECV,BC303930393436393130303030464439410D
05-05-2024 18:05:23.979,10895,RECV,BC303930393436463230303030464438
05-05-2024 18:05:24.042,10896,RECV,430D
05-05-2024 18:05:24.289,10897,RECV,BC303930393436433130303030464439300D
05-05-2024 18:05:25.776,10898,RECV,BC3039303934364332
05-05-2024 18:05:25.840,10899,RECV,30303030464438460D
05-05-2024 18:05:26.088,10900,RECV,BC30393039
05-05-2024 18:05:26.150,10901,RECV,34363432453030323031464432360D
05-05-2024 18:05:26.462,10902,RECV,BC3039303934363434453030323031464432340D
05-05-2024 18:05:26.711,10903,RECV,BC3039303934
05-05-2024 18:05:26.775,10904,RECV,36393130303030464439410D
05-05-2024 18:05:27.025,10905,RECV,BC3039303934364632303030
05-05-2024 18:05:27.088,10906,RECV,30464438430D
05-05-2024 18:05:27.338,10907,RECV,BC3039
05-05-2024 18:05:27.402,10908,RECV,30393436433130303030464439300D
05-05-2024 18:05:27.652,10909,RECV,BC3039303934364332
05-05-2024 18:05:27.715,10910,RECV,30303030464438460D
05-05-2024 18:05:27.967,10911,RECV,BC
05-05-2024 18:05:28.028,10912,RECV,3039303934363432453030323031464432360D
05-05-2024 18:05:28.279,10913,RECV,BC3039303934
05-05-2024 18:05:28.343,10914,RECV,363434453030323031464432340D
05-05-2024 18:05:31.089,10915,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:05:31.258,10916,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:05:31.421,10917,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:05:31.625,10918,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:05:31.839,10919,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:05:34.194,10920,RECV,BC304130413436393130303030464438410D
05-05-2024 18:05:34.504,10921,RECV,BC304130413436463230303030464437430D
05-05-2024 18:05:34.817,10922,RECV,BC304130413436433130303030464438300D
05-05-2024 18:05:35.126,10923,RECV,BC3041304134364332303030304644
05-05-2024 18:05:35.187,10924,RECV,37460D
05-05-2024 18:05:35.435,10925,RECV,BC3041304134363432453030323031464431360D
05-05-2024 18:05:35.745,10926,RECV,BC3041304134363434453030323031464431340D
05-05-2024 18:05:36.054,10927,RECV,BC304130413436393130303030464438
05-05-2024 18:05:36.117,10928,RECV,410D
05-05-2024 18:05:36.367,10929,RECV,BC304130413436463230303030464437430D
05-05-2024 18:05:36.679,10930,RECV,BC304130413436433130303030464438
05-05-2024 18:05:36.740,10931,RECV,300D
05-05-2024 18:05:36.989,10932,RECV,BC304130413436433230303030464437460D
05-05-2024 18:05:37.303,10933,RECV,BC304130413436343245303032303146
05-05-2024 18:05:37.367,10934,RECV,4431360D
05-05-2024 18:05:37.616,10935,RECV,BC3041304134363434453030323031464431340D
05-05-2024 18:05:40.653,10936,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:05:40.834,10937,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:05:41.022,10938,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:05:41.238,10939,SENT,3030303030303030303030303030303030303030303030
